,title,manufacturer,retailer,code,link,operation,date_ops
60,Lámpara de mesa Philips Gradient Signe Blanco,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562548-lampara-de-mesa-philips-gradient-signe-blanco/,RPI Re-added to Retailer,07-11-2022 12:20
61,Interruptor de pared Philips Hue pack de 2,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562493-interruptor-de-pared-philips-hue-pack-de-2/,RPI Re-added to Retailer,07-11-2022 12:20
62,Interruptor de pared Philips Hue,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562491-interruptor-de-pared-philips-hue/,RPI Re-added to Retailer,07-11-2022 12:20
63,"Bombilla Philips Hue White and Color Ambiance 13,5W A67 E27",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562484-bombilla-philips-hue-white-and-color-ambiance-135w-a67-e27/,RPI Re-added to Retailer,07-11-2022 12:20
64,Bombilla Philips Hue White Ambiance 13W A67 E27,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562469-bombilla-philips-hue-white-ambiance-13w-a67-e27/,RPI Re-added to Retailer,07-11-2022 12:20
65,Tira LED Philips Gradient Lightstrip Kit Básico 2 metros,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/electronica/A42562608-tira-led-philips-gradient-lightstrip-kit-basico-2-metros/,RPI Re-added to Retailer,07-11-2022 12:20
66,Plafón LED redondo 12 W SHAN 40K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A40563524-plafon-led-redondo-12-w-shan-40k/,RPI Re-added to Retailer,07-11-2022 12:20
67,Chupete Philips Avent Anatómico Ultra Air silicona (6 - 18 M.) 2 unids. 'I Love Papa' verde/azul,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bebes/A39435015-chupete-philips-avent-anatomico-ultra-air-silicona-6-18-m-2-unids-i-love-papa-verdeazul/,RPI Re-added to Retailer,07-11-2022 12:20
68,"Bombilla LED dicroica GU10 6,2W 575lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955552-bombilla-led-dicroica-gu10-62w-575lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
69,"Bombilla LED vela 6,5 W 806 lm",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955551-bombilla-led-vela-65-w-806-lm/,RPI Re-added to Retailer,07-11-2022 12:20
70,"Bombilla LED esférica E14 6,5W 806 lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955550-bombilla-led-esferica-e14-65w-806-lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
71,"Bombilla LED esférica E14 4,3W 470lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955547-bombilla-led-esferica-e14-43w-470lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
72,"Bombilla LED vela E14 2,2 W 250 lm",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955541-bombilla-led-vela-e14-22-w-250-lm/,RPI Re-added to Retailer,07-11-2022 12:20
73,"Bombilla LED vela 4,3 W 470 lm",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A37955530-bombilla-led-vela-43-w-470-lm/,RPI Re-added to Retailer,07-11-2022 12:20
74,"Bombilla LED dicroica GU5,3 7W 621lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A28250741-bombilla-led-dicroica-gu53-7w-621lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
75,"Bombilla LED dicroica GU5,3 7W 660 lm 4.000 K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A28250742-bombilla-led-dicroica-gu53-7w-660-lm-4000-k/,RPI Re-added to Retailer,07-11-2022 12:20
76,"Bombilla LED dicroica GU10 4,9W 485lm 4.000K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A28250747-bombilla-led-dicroica-gu10-49w-485lm-4000k/,RPI Re-added to Retailer,07-11-2022 12:20
77,"Bombilla LED cápsula G9 3,2W 400lm 3.000K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A28250748-bombilla-led-capsula-g9-32w-400lm-3000k/,RPI Re-added to Retailer,07-11-2022 12:20
78,"Bombilla LED globo E27 16,5W 1.521lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30032594-bombilla-led-globo-e27-165w-1521lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
79,"Bombilla LED cápsula G4 1,8W 215lm 3.000K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30032597-bombilla-led-capsula-g4-18w-215lm-3000k/,RPI Re-added to Retailer,07-11-2022 12:20
80,Luz LED lineal regulable R7S 14W,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30032609-luz-led-lineal-regulable-r7s-14w/,RPI Re-added to Retailer,07-11-2022 12:20
81,"Bombilla LED Estándar E27 10,5W 1.521lm 6.500K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30032611-bombilla-led-estandar-e27-105w-1521lm-6500k/,RPI Re-added to Retailer,07-11-2022 12:20
82,"Bombilla LED dicroica GU10 4,6W 390 lm 6.500K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30032612-bombilla-led-dicroica-gu10-46w-390-lm-6500k/,RPI Re-added to Retailer,07-11-2022 12:20
83,"Bombilla LED PL G24D 8,5W",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30905104-bombilla-led-pl-g24d-85w/,RPI Re-added to Retailer,07-11-2022 12:20
84,"Bombilla LED con Sensor Crepuscular E27 7,5W 806lm 2.700K",Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A30905105-bombilla-led-con-sensor-crepuscular-e27-75w-806lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
85,Plafón LED redondo Moire 6W 450lm 3000K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A31629969-plafon-led-redondo-moire-6w-450lm-3000k/,RPI Re-added to Retailer,07-11-2022 12:20
86,Plafón LED redondo Moire 17W 1700lm 2700K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A31629973-plafon-led-redondo-moire-17w-1700lm-2700k/,RPI Re-added to Retailer,07-11-2022 12:20
87,Plafón LED redondo Moire 10W 850lm 4000K,Philips,ElCorteIngles,no-code,https://www.elcorteingles.es/bricor/A31629974-plafon-led-redondo-moire-10w-850lm-4000k/,RPI Re-added to Retailer,07-11-2022 12:20
